example_id,dataset,seed,policy,depth,budget_fraction,hop,incremental_K,cumulative_K,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
5ab7f97a5542991d322237ef,hotpotqa,53,iterative,2,0.05,1,4,4,126,4,4,0,0.0,0.0,0,0.031746031746031744,1.0,0.9682539682539683,0.0
5ab7f97a5542991d322237ef,hotpotqa,53,iterative,2,0.05,2,3,7,126,4,7,0,0.0,0.0,0,0.05555555555555555,1.75,0.9444444444444444,0.0
5ab7f97a5542991d322237ef,hotpotqa,53,one_shot,1,0.1,1,13,13,126,4,13,1,0.25,0.07692307692307693,0,0.10317460317460317,3.25,0.8968253968253969,2.4230769230769234
5ab7f97a5542991d322237ef,hotpotqa,53,iterative,2,0.1,1,7,7,126,4,7,0,0.0,0.0,0,0.05555555555555555,1.75,0.9444444444444444,0.0
5ab7f97a5542991d322237ef,hotpotqa,53,iterative,2,0.1,2,6,13,126,4,13,1,0.25,0.07692307692307693,0,0.10317460317460317,3.25,0.8968253968253969,2.4230769230769234
5ab7f97a5542991d322237ef,hotpotqa,53,one_shot,1,0.2,1,26,26,126,4,26,1,0.25,0.038461538461538464,0,0.20634920634920634,6.5,0.7936507936507937,1.2115384615384617
5ab7f97a5542991d322237ef,hotpotqa,53,iterative,2,0.2,1,13,13,126,4,13,1,0.25,0.07692307692307693,0,0.10317460317460317,3.25,0.8968253968253969,2.4230769230769234
5ab7f97a5542991d322237ef,hotpotqa,53,iterative,2,0.2,2,13,26,126,4,26,1,0.25,0.038461538461538464,0,0.20634920634920634,6.5,0.7936507936507937,1.2115384615384617
5ab7f97a5542991d322237ef,hotpotqa,53,one_shot,1,0.3,1,38,38,126,4,38,4,1.0,0.10526315789473684,1,0.30158730158730157,9.5,0.6984126984126984,3.3157894736842106
5ab7f97a5542991d322237ef,hotpotqa,53,iterative,2,0.3,1,19,19,126,4,19,1,0.25,0.05263157894736842,0,0.15079365079365079,4.75,0.8492063492063492,1.6578947368421053
5ab7f97a5542991d322237ef,hotpotqa,53,iterative,2,0.3,2,19,38,126,4,38,4,1.0,0.10526315789473684,1,0.30158730158730157,9.5,0.6984126984126984,3.3157894736842106
5a8888e35542997e5c09a5f6,hotpotqa,53,one_shot,1,0.05,1,2,2,39,4,2,1,0.25,0.5,0,0.05128205128205128,0.5,0.9487179487179487,4.875
5a8888e35542997e5c09a5f6,hotpotqa,53,iterative,2,0.05,1,1,1,39,4,1,1,0.25,1.0,0,0.02564102564102564,0.25,0.9743589743589743,9.75
5a8888e35542997e5c09a5f6,hotpotqa,53,iterative,2,0.05,2,1,2,39,4,2,2,0.5,1.0,0,0.05128205128205128,0.5,0.9487179487179487,9.75
5a8888e35542997e5c09a5f6,hotpotqa,53,one_shot,1,0.1,1,4,4,39,4,4,1,0.25,0.25,0,0.10256410256410256,1.0,0.8974358974358975,2.4375
5a8888e35542997e5c09a5f6,hotpotqa,53,iterative,2,0.1,1,2,2,39,4,2,1,0.25,0.5,0,0.05128205128205128,0.5,0.9487179487179487,4.875
5a8888e35542997e5c09a5f6,hotpotqa,53,iterative,2,0.1,2,2,4,39,4,4,2,0.5,0.5,0,0.10256410256410256,1.0,0.8974358974358975,4.875
5a8888e35542997e5c09a5f6,hotpotqa,53,one_shot,1,0.2,1,8,8,39,4,8,2,0.5,0.25,0,0.20512820512820512,2.0,0.7948717948717949,2.4375
5a8888e35542997e5c09a5f6,hotpotqa,53,iterative,2,0.2,1,4,4,39,4,4,1,0.25,0.25,0,0.10256410256410256,1.0,0.8974358974358975,2.4375
5a8888e35542997e5c09a5f6,hotpotqa,53,iterative,2,0.2,2,4,8,39,4,8,2,0.5,0.25,0,0.20512820512820512,2.0,0.7948717948717949,2.4375
5a8888e35542997e5c09a5f6,hotpotqa,53,one_shot,1,0.3,1,12,12,39,4,12,2,0.5,0.16666666666666666,0,0.3076923076923077,3.0,0.6923076923076923,1.625
5a8888e35542997e5c09a5f6,hotpotqa,53,iterative,2,0.3,1,6,6,39,4,6,2,0.5,0.3333333333333333,0,0.15384615384615385,1.5,0.8461538461538461,3.25
5a8888e35542997e5c09a5f6,hotpotqa,53,iterative,2,0.3,2,6,12,39,4,12,2,0.5,0.16666666666666666,0,0.3076923076923077,3.0,0.6923076923076923,1.625
5a8c8502554299585d9e36d0,hotpotqa,53,one_shot,1,0.05,1,3,3,55,5,3,0,0.0,0.0,0,0.05454545454545454,0.6,0.9454545454545454,0.0
5a8c8502554299585d9e36d0,hotpotqa,53,iterative,2,0.05,1,2,2,55,5,2,0,0.0,0.0,0,0.03636363636363636,0.4,0.9636363636363636,0.0
5a8c8502554299585d9e36d0,hotpotqa,53,iterative,2,0.05,2,1,3,55,5,3,0,0.0,0.0,0,0.05454545454545454,0.6,0.9454545454545454,0.0
5a8c8502554299585d9e36d0,hotpotqa,53,one_shot,1,0.1,1,6,6,55,5,6,1,0.2,0.16666666666666666,0,0.10909090909090909,1.2,0.8909090909090909,1.8333333333333335
5a8c8502554299585d9e36d0,hotpotqa,53,iterative,2,0.1,1,3,3,55,5,3,0,0.0,0.0,0,0.05454545454545454,0.6,0.9454545454545454,0.0
5a8c8502554299585d9e36d0,hotpotqa,53,iterative,2,0.1,2,3,6,55,5,6,1,0.2,0.16666666666666666,0,0.10909090909090909,1.2,0.8909090909090909,1.8333333333333335
5a8c8502554299585d9e36d0,hotpotqa,53,one_shot,1,0.2,1,11,11,55,5,11,1,0.2,0.09090909090909091,0,0.2,2.2,0.8,1.0
5a8c8502554299585d9e36d0,hotpotqa,53,iterative,2,0.2,1,6,6,55,5,6,1,0.2,0.16666666666666666,0,0.10909090909090909,1.2,0.8909090909090909,1.8333333333333335
5a8c8502554299585d9e36d0,hotpotqa,53,iterative,2,0.2,2,5,11,55,5,11,1,0.2,0.09090909090909091,0,0.2,2.2,0.8,1.0
5a8c8502554299585d9e36d0,hotpotqa,53,one_shot,1,0.3,1,17,17,55,5,17,1,0.2,0.058823529411764705,0,0.3090909090909091,3.4,0.6909090909090909,0.6470588235294118
5a8c8502554299585d9e36d0,hotpotqa,53,iterative,2,0.3,1,9,9,55,5,9,1,0.2,0.1111111111111111,0,0.16363636363636364,1.8,0.8363636363636364,1.2222222222222223
5a8c8502554299585d9e36d0,hotpotqa,53,iterative,2,0.3,2,8,17,55,5,17,1,0.2,0.058823529411764705,0,0.3090909090909091,3.4,0.6909090909090909,0.6470588235294118
5a84c4bb5542991dd0999dec,hotpotqa,53,one_shot,1,0.05,1,3,3,47,7,3,0,0.0,0.0,0,0.06382978723404255,0.42857142857142855,0.9361702127659575,0.0
5a84c4bb5542991dd0999dec,hotpotqa,53,iterative,2,0.05,1,2,2,47,7,2,0,0.0,0.0,0,0.0425531914893617,0.2857142857142857,0.9574468085106383,0.0
5a84c4bb5542991dd0999dec,hotpotqa,53,iterative,2,0.05,2,1,3,47,7,3,1,0.14285714285714285,0.3333333333333333,0,0.06382978723404255,0.42857142857142855,0.9361702127659575,2.238095238095238
5a84c4bb5542991dd0999dec,hotpotqa,53,one_shot,1,0.1,1,5,5,47,7,5,0,0.0,0.0,0,0.10638297872340426,0.7142857142857143,0.8936170212765957,0.0
5a84c4bb5542991dd0999dec,hotpotqa,53,iterative,2,0.1,1,3,3,47,7,3,0,0.0,0.0,0,0.06382978723404255,0.42857142857142855,0.9361702127659575,0.0
5a84c4bb5542991dd0999dec,hotpotqa,53,iterative,2,0.1,2,2,5,47,7,5,1,0.14285714285714285,0.2,0,0.10638297872340426,0.7142857142857143,0.8936170212765957,1.3428571428571427
5a84c4bb5542991dd0999dec,hotpotqa,53,one_shot,1,0.2,1,10,10,47,7,10,1,0.14285714285714285,0.1,0,0.2127659574468085,1.4285714285714286,0.7872340425531915,0.6714285714285714
5a84c4bb5542991dd0999dec,hotpotqa,53,iterative,2,0.2,1,5,5,47,7,5,0,0.0,0.0,0,0.10638297872340426,0.7142857142857143,0.8936170212765957,0.0
5a84c4bb5542991dd0999dec,hotpotqa,53,iterative,2,0.2,2,5,10,47,7,10,1,0.14285714285714285,0.1,0,0.2127659574468085,1.4285714285714286,0.7872340425531915,0.6714285714285714
5a84c4bb5542991dd0999dec,hotpotqa,53,one_shot,1,0.3,1,15,15,47,7,15,2,0.2857142857142857,0.13333333333333333,0,0.3191489361702128,2.142857142857143,0.6808510638297872,0.8952380952380952
5a84c4bb5542991dd0999dec,hotpotqa,53,iterative,2,0.3,1,8,8,47,7,8,1,0.14285714285714285,0.125,0,0.1702127659574468,1.1428571428571428,0.8297872340425532,0.8392857142857143
5a84c4bb5542991dd0999dec,hotpotqa,53,iterative,2,0.3,2,7,15,47,7,15,2,0.2857142857142857,0.13333333333333333,0,0.3191489361702128,2.142857142857143,0.6808510638297872,0.8952380952380952
5abbd4035542993f40c73bcb,hotpotqa,53,one_shot,1,0.05,1,3,3,50,7,3,2,0.2857142857142857,0.6666666666666666,0,0.06,0.42857142857142855,0.94,4.761904761904762
5abbd4035542993f40c73bcb,hotpotqa,53,iterative,2,0.05,1,2,2,50,7,2,1,0.14285714285714285,0.5,0,0.04,0.2857142857142857,0.96,3.571428571428571
5abbd4035542993f40c73bcb,hotpotqa,53,iterative,2,0.05,2,1,3,50,7,3,2,0.2857142857142857,0.6666666666666666,0,0.06,0.42857142857142855,0.94,4.761904761904762
5abbd4035542993f40c73bcb,hotpotqa,53,one_shot,1,0.1,1,5,5,50,7,5,2,0.2857142857142857,0.4,0,0.1,0.7142857142857143,0.9,2.8571428571428568
5abbd4035542993f40c73bcb,hotpotqa,53,iterative,2,0.1,1,3,3,50,7,3,2,0.2857142857142857,0.6666666666666666,0,0.06,0.42857142857142855,0.94,4.761904761904762
5abbd4035542993f40c73bcb,hotpotqa,53,iterative,2,0.1,2,2,5,50,7,5,2,0.2857142857142857,0.4,0,0.1,0.7142857142857143,0.9,2.8571428571428568
5abbd4035542993f40c73bcb,hotpotqa,53,one_shot,1,0.2,1,10,10,50,7,10,3,0.42857142857142855,0.3,0,0.2,1.4285714285714286,0.8,2.142857142857143
5abbd4035542993f40c73bcb,hotpotqa,53,iterative,2,0.2,1,5,5,50,7,5,2,0.2857142857142857,0.4,0,0.1,0.7142857142857143,0.9,2.8571428571428568
5abbd4035542993f40c73bcb,hotpotqa,53,iterative,2,0.2,2,5,10,50,7,10,4,0.5714285714285714,0.4,0,0.2,1.4285714285714286,0.8,2.8571428571428568
5abbd4035542993f40c73bcb,hotpotqa,53,one_shot,1,0.3,1,15,15,50,7,15,4,0.5714285714285714,0.26666666666666666,0,0.3,2.142857142857143,0.7,1.9047619047619047
5abbd4035542993f40c73bcb,hotpotqa,53,iterative,2,0.3,1,8,8,50,7,8,2,0.2857142857142857,0.25,0,0.16,1.1428571428571428,0.84,1.7857142857142856
5abbd4035542993f40c73bcb,hotpotqa,53,iterative,2,0.3,2,7,15,50,7,15,4,0.5714285714285714,0.26666666666666666,0,0.3,2.142857142857143,0.7,1.9047619047619047
5ae6143f5542996de7b71b2d,hotpotqa,53,one_shot,1,0.05,1,3,3,55,5,3,1,0.2,0.3333333333333333,0,0.05454545454545454,0.6,0.9454545454545454,3.666666666666667
5ae6143f5542996de7b71b2d,hotpotqa,53,iterative,2,0.05,1,2,2,55,5,2,1,0.2,0.5,0,0.03636363636363636,0.4,0.9636363636363636,5.500000000000001
5ae6143f5542996de7b71b2d,hotpotqa,53,iterative,2,0.05,2,1,3,55,5,3,1,0.2,0.3333333333333333,0,0.05454545454545454,0.6,0.9454545454545454,3.666666666666667
5ae6143f5542996de7b71b2d,hotpotqa,53,one_shot,1,0.1,1,6,6,55,5,6,2,0.4,0.3333333333333333,0,0.10909090909090909,1.2,0.8909090909090909,3.666666666666667
5ae6143f5542996de7b71b2d,hotpotqa,53,iterative,2,0.1,1,3,3,55,5,3,1,0.2,0.3333333333333333,0,0.05454545454545454,0.6,0.9454545454545454,3.666666666666667
5ae6143f5542996de7b71b2d,hotpotqa,53,iterative,2,0.1,2,3,6,55,5,6,1,0.2,0.16666666666666666,0,0.10909090909090909,1.2,0.8909090909090909,1.8333333333333335
5ae6143f5542996de7b71b2d,hotpotqa,53,one_shot,1,0.2,1,11,11,55,5,11,2,0.4,0.18181818181818182,0,0.2,2.2,0.8,2.0
5ae6143f5542996de7b71b2d,hotpotqa,53,iterative,2,0.2,1,6,6,55,5,6,2,0.4,0.3333333333333333,0,0.10909090909090909,1.2,0.8909090909090909,3.666666666666667
5ae6143f5542996de7b71b2d,hotpotqa,53,iterative,2,0.2,2,5,11,55,5,11,2,0.4,0.18181818181818182,0,0.2,2.2,0.8,2.0
5ae6143f5542996de7b71b2d,hotpotqa,53,one_shot,1,0.3,1,17,17,55,5,17,2,0.4,0.11764705882352941,0,0.3090909090909091,3.4,0.6909090909090909,1.2941176470588236
5ae6143f5542996de7b71b2d,hotpotqa,53,iterative,2,0.3,1,9,9,55,5,9,2,0.4,0.2222222222222222,0,0.16363636363636364,1.8,0.8363636363636364,2.4444444444444446
5ae6143f5542996de7b71b2d,hotpotqa,53,iterative,2,0.3,2,8,17,55,5,17,2,0.4,0.11764705882352941,0,0.3090909090909091,3.4,0.6909090909090909,1.2941176470588236
5a7e513a5542994959419996,hotpotqa,53,one_shot,1,0.05,1,2,2,29,4,2,1,0.25,0.5,0,0.06896551724137931,0.5,0.9310344827586207,3.625
5a7e513a5542994959419996,hotpotqa,53,iterative,2,0.05,1,1,1,29,4,1,0,0.0,0.0,0,0.034482758620689655,0.25,0.9655172413793104,0.0
5a7e513a5542994959419996,hotpotqa,53,iterative,2,0.05,2,1,2,29,4,2,0,0.0,0.0,0,0.06896551724137931,0.5,0.9310344827586207,0.0
5a7e513a5542994959419996,hotpotqa,53,one_shot,1,0.1,1,3,3,29,4,3,1,0.25,0.3333333333333333,0,0.10344827586206896,0.75,0.896551724137931,2.4166666666666665
5a7e513a5542994959419996,hotpotqa,53,iterative,2,0.1,1,2,2,29,4,2,1,0.25,0.5,0,0.06896551724137931,0.5,0.9310344827586207,3.625
5a7e513a5542994959419996,hotpotqa,53,iterative,2,0.1,2,1,3,29,4,3,1,0.25,0.3333333333333333,0,0.10344827586206896,0.75,0.896551724137931,2.4166666666666665
5a7e513a5542994959419996,hotpotqa,53,one_shot,1,0.2,1,6,6,29,4,6,1,0.25,0.16666666666666666,0,0.20689655172413793,1.5,0.7931034482758621,1.2083333333333333
5a7e513a5542994959419996,hotpotqa,53,iterative,2,0.2,1,3,3,29,4,3,1,0.25,0.3333333333333333,0,0.10344827586206896,0.75,0.896551724137931,2.4166666666666665
5a7e513a5542994959419996,hotpotqa,53,iterative,2,0.2,2,3,6,29,4,6,1,0.25,0.16666666666666666,0,0.20689655172413793,1.5,0.7931034482758621,1.2083333333333333
5a7e513a5542994959419996,hotpotqa,53,one_shot,1,0.3,1,9,9,29,4,9,2,0.5,0.2222222222222222,0,0.3103448275862069,2.25,0.6896551724137931,1.6111111111111112
5a7e513a5542994959419996,hotpotqa,53,iterative,2,0.3,1,5,5,29,4,5,1,0.25,0.2,0,0.1724137931034483,1.25,0.8275862068965517,1.45
5a7e513a5542994959419996,hotpotqa,53,iterative,2,0.3,2,4,9,29,4,9,1,0.25,0.1111111111111111,0,0.3103448275862069,2.25,0.6896551724137931,0.8055555555555556
5a80d6be55429938b6142206,hotpotqa,53,one_shot,1,0.05,1,3,3,47,4,3,0,0.0,0.0,0,0.06382978723404255,0.75,0.9361702127659575,0.0
5a80d6be55429938b6142206,hotpotqa,53,iterative,2,0.05,1,2,2,47,4,2,0,0.0,0.0,0,0.0425531914893617,0.5,0.9574468085106383,0.0
5a80d6be55429938b6142206,hotpotqa,53,iterative,2,0.05,2,1,3,47,4,3,0,0.0,0.0,0,0.06382978723404255,0.75,0.9361702127659575,0.0
5a80d6be55429938b6142206,hotpotqa,53,one_shot,1,0.1,1,5,5,47,4,5,0,0.0,0.0,0,0.10638297872340426,1.25,0.8936170212765957,0.0
5a80d6be55429938b6142206,hotpotqa,53,iterative,2,0.1,1,3,3,47,4,3,0,0.0,0.0,0,0.06382978723404255,0.75,0.9361702127659575,0.0
5a80d6be55429938b6142206,hotpotqa,53,iterative,2,0.1,2,2,5,47,4,5,0,0.0,0.0,0,0.10638297872340426,1.25,0.8936170212765957,0.0
5a80d6be55429938b6142206,hotpotqa,53,one_shot,1,0.2,1,10,10,47,4,10,0,0.0,0.0,0,0.2127659574468085,2.5,0.7872340425531915,0.0
5a80d6be55429938b6142206,hotpotqa,53,iterative,2,0.2,1,5,5,47,4,5,0,0.0,0.0,0,0.10638297872340426,1.25,0.8936170212765957,0.0
5a80d6be55429938b6142206,hotpotqa,53,iterative,2,0.2,2,5,10,47,4,10,1,0.25,0.1,0,0.2127659574468085,2.5,0.7872340425531915,1.175
5a80d6be55429938b6142206,hotpotqa,53,one_shot,1,0.3,1,15,15,47,4,15,2,0.5,0.13333333333333333,0,0.3191489361702128,3.75,0.6808510638297872,1.5666666666666667
5a80d6be55429938b6142206,hotpotqa,53,iterative,2,0.3,1,8,8,47,4,8,0,0.0,0.0,0,0.1702127659574468,2.0,0.8297872340425532,0.0
5a80d6be55429938b6142206,hotpotqa,53,iterative,2,0.3,2,7,15,47,4,15,2,0.5,0.13333333333333333,0,0.3191489361702128,3.75,0.6808510638297872,1.5666666666666667
5ab88c075542991b5579efbe,hotpotqa,53,one_shot,1,0.05,1,3,3,51,4,3,0,0.0,0.0,0,0.058823529411764705,0.75,0.9411764705882353,0.0
5ab88c075542991b5579efbe,hotpotqa,53,iterative,2,0.05,1,2,2,51,4,2,0,0.0,0.0,0,0.0392156862745098,0.5,0.9607843137254902,0.0
5ab88c075542991b5579efbe,hotpotqa,53,iterative,2,0.05,2,1,3,51,4,3,0,0.0,0.0,0,0.058823529411764705,0.75,0.9411764705882353,0.0
5ab88c075542991b5579efbe,hotpotqa,53,one_shot,1,0.1,1,6,6,51,4,6,0,0.0,0.0,0,0.11764705882352941,1.5,0.8823529411764706,0.0
5ab88c075542991b5579efbe,hotpotqa,53,iterative,2,0.1,1,3,3,51,4,3,0,0.0,0.0,0,0.058823529411764705,0.75,0.9411764705882353,0.0
5ab88c075542991b5579efbe,hotpotqa,53,iterative,2,0.1,2,3,6,51,4,6,0,0.0,0.0,0,0.11764705882352941,1.5,0.8823529411764706,0.0
5ab88c075542991b5579efbe,hotpotqa,53,one_shot,1,0.2,1,11,11,51,4,11,0,0.0,0.0,0,0.21568627450980393,2.75,0.7843137254901961,0.0
5ab88c075542991b5579efbe,hotpotqa,53,iterative,2,0.2,1,6,6,51,4,6,0,0.0,0.0,0,0.11764705882352941,1.5,0.8823529411764706,0.0
5ab88c075542991b5579efbe,hotpotqa,53,iterative,2,0.2,2,5,11,51,4,11,1,0.25,0.09090909090909091,0,0.21568627450980393,2.75,0.7843137254901961,1.159090909090909
5ab88c075542991b5579efbe,hotpotqa,53,one_shot,1,0.3,1,16,16,51,4,16,1,0.25,0.0625,0,0.3137254901960784,4.0,0.6862745098039216,0.796875
5ab88c075542991b5579efbe,hotpotqa,53,iterative,2,0.3,1,8,8,51,4,8,0,0.0,0.0,0,0.1568627450980392,2.0,0.8431372549019608,0.0
5ab88c075542991b5579efbe,hotpotqa,53,iterative,2,0.3,2,8,16,51,4,16,1,0.25,0.0625,0,0.3137254901960784,4.0,0.6862745098039216,0.796875
5a714b645542994082a3e78b,hotpotqa,53,one_shot,1,0.05,1,2,2,40,5,2,1,0.2,0.5,0,0.05,0.4,0.95,4.0
5a714b645542994082a3e78b,hotpotqa,53,iterative,2,0.05,1,1,1,40,5,1,0,0.0,0.0,0,0.025,0.2,0.975,0.0
5a714b645542994082a3e78b,hotpotqa,53,iterative,2,0.05,2,1,2,40,5,2,0,0.0,0.0,0,0.05,0.4,0.95,0.0
5a714b645542994082a3e78b,hotpotqa,53,one_shot,1,0.1,1,4,4,40,5,4,1,0.2,0.25,0,0.1,0.8,0.9,2.0
5a714b645542994082a3e78b,hotpotqa,53,iterative,2,0.1,1,2,2,40,5,2,1,0.2,0.5,0,0.05,0.4,0.95,4.0
5a714b645542994082a3e78b,hotpotqa,53,iterative,2,0.1,2,2,4,40,5,4,2,0.4,0.5,0,0.1,0.8,0.9,4.0
5a714b645542994082a3e78b,hotpotqa,53,one_shot,1,0.2,1,8,8,40,5,8,1,0.2,0.125,0,0.2,1.6,0.8,1.0
5a714b645542994082a3e78b,hotpotqa,53,iterative,2,0.2,1,4,4,40,5,4,1,0.2,0.25,0,0.1,0.8,0.9,2.0
5a714b645542994082a3e78b,hotpotqa,53,iterative,2,0.2,2,4,8,40,5,8,2,0.4,0.25,0,0.2,1.6,0.8,2.0
5a714b645542994082a3e78b,hotpotqa,53,one_shot,1,0.3,1,12,12,40,5,12,2,0.4,0.16666666666666666,0,0.3,2.4,0.7,1.3333333333333335
5a714b645542994082a3e78b,hotpotqa,53,iterative,2,0.3,1,6,6,40,5,6,1,0.2,0.16666666666666666,0,0.15,1.2,0.85,1.3333333333333335
5a714b645542994082a3e78b,hotpotqa,53,iterative,2,0.3,2,6,12,40,5,12,2,0.4,0.16666666666666666,0,0.3,2.4,0.7,1.3333333333333335
5abce85755429959677d6b3e,hotpotqa,53,one_shot,1,0.05,1,4,4,62,6,4,0,0.0,0.0,0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
5abce85755429959677d6b3e,hotpotqa,53,iterative,2,0.05,1,2,2,62,6,2,0,0.0,0.0,0,0.03225806451612903,0.3333333333333333,0.967741935483871,0.0
5abce85755429959677d6b3e,hotpotqa,53,iterative,2,0.05,2,2,4,62,6,4,0,0.0,0.0,0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
5abce85755429959677d6b3e,hotpotqa,53,one_shot,1,0.1,1,7,7,62,6,7,0,0.0,0.0,0,0.11290322580645161,1.1666666666666667,0.8870967741935484,0.0
5abce85755429959677d6b3e,hotpotqa,53,iterative,2,0.1,1,4,4,62,6,4,0,0.0,0.0,0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
5abce85755429959677d6b3e,hotpotqa,53,iterative,2,0.1,2,3,7,62,6,7,0,0.0,0.0,0,0.11290322580645161,1.1666666666666667,0.8870967741935484,0.0
5abce85755429959677d6b3e,hotpotqa,53,one_shot,1,0.2,1,13,13,62,6,13,0,0.0,0.0,0,0.20967741935483872,2.1666666666666665,0.7903225806451613,0.0
5abce85755429959677d6b3e,hotpotqa,53,iterative,2,0.2,1,7,7,62,6,7,0,0.0,0.0,0,0.11290322580645161,1.1666666666666667,0.8870967741935484,0.0
5abce85755429959677d6b3e,hotpotqa,53,iterative,2,0.2,2,6,13,62,6,13,0,0.0,0.0,0,0.20967741935483872,2.1666666666666665,0.7903225806451613,0.0
5abce85755429959677d6b3e,hotpotqa,53,one_shot,1,0.3,1,19,19,62,6,19,2,0.3333333333333333,0.10526315789473684,0,0.3064516129032258,3.1666666666666665,0.6935483870967742,1.0877192982456139
5abce85755429959677d6b3e,hotpotqa,53,iterative,2,0.3,1,10,10,62,6,10,0,0.0,0.0,0,0.16129032258064516,1.6666666666666667,0.8387096774193549,0.0
5abce85755429959677d6b3e,hotpotqa,53,iterative,2,0.3,2,9,19,62,6,19,0,0.0,0.0,0,0.3064516129032258,3.1666666666666665,0.6935483870967742,0.0
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,one_shot,1,0.05,1,9,9,176,3,9,3,1.0,0.3333333333333333,1,0.05113636363636364,3.0,0.9488636363636364,19.555555555555554
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,iterative,2,0.05,1,5,5,176,3,5,3,1.0,0.6,1,0.028409090909090908,1.6666666666666667,0.9715909090909091,35.2
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,iterative,2,0.05,2,4,9,176,3,9,3,1.0,0.3333333333333333,1,0.05113636363636364,3.0,0.9488636363636364,19.555555555555554
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,one_shot,1,0.1,1,18,18,176,3,18,3,1.0,0.16666666666666666,1,0.10227272727272728,6.0,0.8977272727272727,9.777777777777777
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,iterative,2,0.1,1,9,9,176,3,9,3,1.0,0.3333333333333333,1,0.05113636363636364,3.0,0.9488636363636364,19.555555555555554
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,iterative,2,0.1,2,9,18,176,3,18,3,1.0,0.16666666666666666,1,0.10227272727272728,6.0,0.8977272727272727,9.777777777777777
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,one_shot,1,0.2,1,36,36,176,3,36,3,1.0,0.08333333333333333,1,0.20454545454545456,12.0,0.7954545454545454,4.888888888888888
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,iterative,2,0.2,1,18,18,176,3,18,3,1.0,0.16666666666666666,1,0.10227272727272728,6.0,0.8977272727272727,9.777777777777777
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,iterative,2,0.2,2,18,36,176,3,36,3,1.0,0.08333333333333333,1,0.20454545454545456,12.0,0.7954545454545454,4.888888888888888
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,one_shot,1,0.3,1,53,53,176,3,53,3,1.0,0.05660377358490566,1,0.30113636363636365,17.666666666666668,0.6988636363636364,3.320754716981132
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,iterative,2,0.3,1,27,27,176,3,27,3,1.0,0.1111111111111111,1,0.1534090909090909,9.0,0.8465909090909091,6.518518518518518
1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,qasper,53,iterative,2,0.3,2,26,53,176,3,53,3,1.0,0.05660377358490566,1,0.30113636363636365,17.666666666666668,0.6988636363636364,3.320754716981132
1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,qasper,53,one_shot,1,0.05,1,6,6,112,7,6,2,0.2857142857142857,0.3333333333333333,0,0.05357142857142857,0.8571428571428571,0.9464285714285714,5.333333333333333
1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,qasper,53,iterative,2,0.05,1,3,3,112,7,3,2,0.2857142857142857,0.6666666666666666,0,0.026785714285714284,0.42857142857142855,0.9732142857142857,10.666666666666666
1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,qasper,53,iterative,2,0.05,2,3,6,112,7,6,3,0.42857142857142855,0.5,0,0.05357142857142857,0.8571428571428571,0.9464285714285714,8.0
1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,qasper,53,one_shot,1,0.1,1,12,12,112,7,12,3,0.42857142857142855,0.25,0,0.10714285714285714,1.7142857142857142,0.8928571428571429,4.0
1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,qasper,53,iterative,2,0.1,1,6,6,112,7,6,2,0.2857142857142857,0.3333333333333333,0,0.05357142857142857,0.8571428571428571,0.9464285714285714,5.333333333333333
1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,qasper,53,iterative,2,0.1,2,6,12,112,7,12,4,0.5714285714285714,0.3333333333333333,0,0.10714285714285714,1.7142857142857142,0.8928571428571429,5.333333333333333
1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,qasper,53,one_shot,1,0.2,1,23,23,112,7,23,4,0.5714285714285714,0.17391304347826086,0,0.20535714285714285,3.2857142857142856,0.7946428571428572,2.782608695652174
1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,qasper,53,iterative,2,0.2,1,12,12,112,7,12,3,0.42857142857142855,0.25,0,0.10714285714285714,1.7142857142857142,0.8928571428571429,4.0
