dataset,treatment,baseline,examples,mean_recall_delta,ci95_low,ci95_high,positive_examples,negative_examples,zero_examples
qasper,graph_cc,paper25_multiscale,16,-0.03392857142857143,-0.07142857142857142,0.0,0,3,13
qasper,graph_cc,embedding_kmeans,16,-0.004464285714285714,-0.013392857142857142,0.0,0,1,15
qasper,graph_cc_hybrid,paper26_hybrid,16,-0.0078125,-0.0234375,0.0,0,1,15
qasper,graph_label_propagation_hybrid,paper26_hybrid,16,0.0,0.0,0.0,0,0,16
qasper,syntactic_graph,paper25_multiscale,16,-0.0035714285714285726,-0.037500000000000006,0.026785714285714284,1,1,14
qasper,syntactic_graph_hybrid,paper26_hybrid,16,-0.0078125,-0.0234375,0.0,0,1,15
hotpotqa,graph_cc,paper25_multiscale,16,0.021279761904761905,-0.04702380952380952,0.08645833333333333,4,2,10
hotpotqa,graph_cc,embedding_kmeans,16,0.0662202380952381,0.0062500000000000056,0.12708333333333333,6,1,9
hotpotqa,graph_cc_hybrid,paper26_hybrid,16,0.015625,0.0,0.046875,1,0,15
hotpotqa,graph_label_propagation_hybrid,paper26_hybrid,16,0.0,0.0,0.0,0,0,16
hotpotqa,syntactic_graph,paper25_multiscale,16,-0.00014880952380952155,-0.0744047619047619,0.06770833333333333,3,2,11
hotpotqa,syntactic_graph_hybrid,paper26_hybrid,16,0.015625,0.0,0.046875,1,0,15
2wikimultihopqa,graph_cc,paper25_multiscale,24,0.005208333333333333,-0.020833333333333332,0.036458333333333336,2,2,20
2wikimultihopqa,graph_cc,embedding_kmeans,24,0.02581018518518519,-0.03541666666666667,0.0925925925925926,6,4,14
2wikimultihopqa,graph_cc_hybrid,paper26_hybrid,24,0.0,0.0,0.0,0,0,24
2wikimultihopqa,graph_label_propagation_hybrid,paper26_hybrid,24,-0.0038194444444444435,-0.026041666666666668,0.01979166666666667,1,2,21
2wikimultihopqa,syntactic_graph,paper25_multiscale,24,0.005208333333333333,-0.020833333333333332,0.036458333333333336,2,2,20
2wikimultihopqa,syntactic_graph_hybrid,paper26_hybrid,24,0.0,0.0,0.0,0,0,24
musique,graph_cc,paper25_multiscale,18,-0.0190055315055315,-0.04546055796055796,0.005555555555555556,1,4,13
musique,graph_cc,embedding_kmeans,18,0.002248677248677249,-0.01917989417989418,0.02169312169312169,2,1,15
musique,graph_cc_hybrid,paper26_hybrid,18,-0.007754629629629629,-0.02835648148148148,0.011111111111111112,1,3,14
musique,graph_label_propagation_hybrid,paper26_hybrid,18,0.0011701261701261697,-0.01566951566951567,0.02167277167277167,1,2,15
musique,syntactic_graph,paper25_multiscale,18,-0.017120610870610866,-0.0379539442039442,0.002314814814814815,1,4,13
musique,syntactic_graph_hybrid,paper26_hybrid,18,-0.007754629629629629,-0.028009259259259258,0.011111111111111112,1,3,14
