condition,examples_per_seed,ingestion_ms_mean,ingestion_ms_seed_sd,native_reuse_mean,native_reuse_seed_sd,physical_context_tokens_mean,physical_context_tokens_seed_sd,regime,seeds,selected_native_kv_tokens_mean,selected_native_kv_tokens_seed_sd,selector_profile,supporting_document_coverage_mean,supporting_document_coverage_seed_sd,token_f1_mean,token_f1_seed_sd,total_latency_ms_mean,total_latency_ms_seed_sd,ttft_ms_mean,ttft_ms_seed_sd,visible_prompt_tokens_mean,visible_prompt_tokens_seed_sd
NO_PRA_STANDARD_RAG,50,938.9969017356634,,0.0,,2024.6,,COLD,1,0.0,,standard_bm25,0.4,,0.11902092352092353,,1104.5550658216234,,1012.5617765798233,,2108.3,
NO_PRA_STANDARD_RAG,50,929.9945808656048,,0.0,,2024.6,,WARM,1,0.0,,standard_bm25,0.4,,0.11902092352092353,,1093.2961707247887,,1000.7369999808725,,2108.3,
NO_PRA_STANDARD_RAG,50,943.5640074603725,,0.0,,2025.32,,COLD,1,0.0,,strong_conventional_reranker,0.455,,0.1372844932844933,,1111.497044180287,,1019.6965473808814,,2109.62,
NO_PRA_STANDARD_RAG,50,930.4816174774896,,0.0,,2025.32,,WARM,1,0.0,,strong_conventional_reranker,0.455,,0.1372844932844933,,1093.8620599720161,,1001.1446192348376,,2109.62,
PRA_NATIVE_MEMORY_NO_ADAPTOR,50,931.9359241251368,,0.0,,2021.06,,COLD,1,2025.88,,pra_generic,0.4683333333333334,,0.12217882117882117,,1132.0677907881327,,1008.8113424438052,,79.02,
PRA_NATIVE_MEMORY_NO_ADAPTOR,50,0.03193168202415109,,1.0,,2021.06,,WARM,1,2025.88,,pra_generic,0.4683333333333334,,0.12217882117882117,,195.53194832289591,,72.80363498139195,,79.02,
PRA_NATIVE_MEMORY_NO_ADAPTOR,50,928.1382591580041,,0.0,,2025.32,,COLD,1,2030.6,,pra_strong_reranker,0.455,,0.1372844932844933,,1128.961478373967,,1004.9348475388251,,79.02,
PRA_NATIVE_MEMORY_NO_ADAPTOR,50,0.03363498253747821,,1.0,,2025.32,,WARM,1,2030.6,,pra_strong_reranker,0.455,,0.1372844932844933,,196.05812420602888,,73.08929498307407,,79.02,
PRA_SELECTED_CONTEXT_NO_ADAPTOR,50,928.6220841761678,,0.0,,2021.06,,COLD,1,0.0,,pra_generic,0.4683333333333334,,0.12217882117882117,,1091.5102300129365,,999.5635841554031,,2104.9,
PRA_SELECTED_CONTEXT_NO_ADAPTOR,50,932.6795324566774,,0.0,,2021.06,,WARM,1,0.0,,pra_generic,0.4683333333333334,,0.12217882117882117,,1097.139503377257,,1005.0867441354785,,2104.9,
PRA_SELECTED_CONTEXT_NO_ADAPTOR,50,932.1712500404101,,0.0,,2025.32,,COLD,1,0.0,,pra_strong_reranker,0.455,,0.1372844932844933,,1094.9982409423683,,1002.5189592654351,,2109.62,
PRA_SELECTED_CONTEXT_NO_ADAPTOR,50,927.117862496525,,0.0,,2025.32,,WARM,1,0.0,,pra_strong_reranker,0.455,,0.1372844932844933,,1091.192024992779,,999.1320399905089,,2109.62,
