dataset,family,policy,channels,parameter,k_total,reference_channel,n,combined_recall,reference_recall,paired_delta,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,resolved_positive,unit
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,E,4,0.5,0.29166666666666663,0.20833333333333331,0.0,0.41666666666666663,2,2,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,L,4,0.5,0.5416666666666666,-0.04166666666666667,-0.375,0.25,1,2,1,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,QK,4,0.5,0.625,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,S,4,0.5,0.5416666666666666,-0.04166666666666667,-0.375,0.25,1,2,1,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,E,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,L,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,QK,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,S,4,1.0,0.7083333333333334,0.2916666666666667,0.0,0.5833333333333334,2,2,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,S,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,2,E,4,0.41666666666666663,0.29166666666666663,0.125,0.0,0.375,1,3,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,2,L,4,0.41666666666666663,0.5416666666666666,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,2,S,4,0.41666666666666663,0.5416666666666666,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,4,E,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,4,L,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,4,S,4,0.9166666666666666,0.7083333333333334,0.20833333333333331,0.0,0.41666666666666663,2,2,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,8,S,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,L+E:fusion,L+E,template=equal,2,E,4,0.29166666666666663,0.29166666666666663,0.0,0.0,0.0,0,4,0,False,held_out_identity
