partition,dataset,example_id,seed,profile_config,factorized_config,profile_quality,factorized_quality,profile_oracle_cost,factorized_oracle_cost,quantization_regret,both_quality_sufficient
validation,hotpotqa,5adc3aff5542996e685252eb,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,1.0,29.015625,12.015625,17.0,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,F2_R2_K4_H1_Bs4_Bkv4,F2_R4_K2_H0_Bs4_Bkv4,1.0,1.0,29.015625,21.015625,8.0,1
validation,hotpotqa,5adc3aff5542996e685252eb,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,1.0,29.015625,12.015625,17.0,1
validation,hotpotqa,5adc3aff5542996e685252eb,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,1.0,29.015625,12.015625,17.0,1
validation,hotpotqa,5adc3aff5542996e685252eb,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K4_H1_Bs4_Bkv4,1.0,1.0,29.015625,24.015625,5.0,1
validation,hotpotqa,5ab56db7554299494045efc6,11,F4_R4_K8_H3_Bs8_Bkv8,F1_R4_K2_H0_Bs4_Bkv4,1.0,1.0,39.859375,21.0,18.859375,1
validation,hotpotqa,5ab56db7554299494045efc6,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,1.0,29.859375,11.0,18.859375,1
validation,hotpotqa,5ab56db7554299494045efc6,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,1.0,30.0,19.0,11.0,1
validation,hotpotqa,5ab56db7554299494045efc6,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,1.0,29.859375,11.0,18.859375,1
validation,hotpotqa,5ab56db7554299494045efc6,71,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K2_H1_Bs4_Bkv4,1.0,1.0,39.859375,19.0,20.859375,1
test,hotpotqa,5ab2b863554299295394685a,11,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,1.0,7.0,7.0,0.0,1
test,hotpotqa,5ab2b863554299295394685a,23,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,1.0,7.0,7.0,0.0,1
test,hotpotqa,5ab2b863554299295394685a,37,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,1.0,7.0,7.0,0.0,1
test,hotpotqa,5ab2b863554299295394685a,53,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,1.0,7.0,7.0,0.0,1
test,hotpotqa,5ab2b863554299295394685a,71,F4_R4_K8_H3_Bs8_Bkv8,F1_R2_K2_H0_Bs2_Bkv2,1.0,1.0,45.890625,11.0,34.890625,1
test,hotpotqa,5a710a915542994082a3e504,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,1.0,28.0,19.0,9.0,1
test,hotpotqa,5a710a915542994082a3e504,23,F4_R4_K8_H3_Bs8_Bkv8,F1_R4_K2_H0_Bs4_Bkv4,1.0,1.0,38.0,21.0,17.0,1
test,hotpotqa,5a710a915542994082a3e504,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,1.0,28.0,19.0,9.0,1
test,hotpotqa,5a710a915542994082a3e504,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,1.0,28.0,19.0,9.0,1
test,hotpotqa,5a710a915542994082a3e504,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,1.0,1.0,28.0,19.0,9.0,1
test,hotpotqa,5adc93a4554299438c868e01,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,1.0,30.0,13.0,17.0,1
