stage,dataset,policy,root_channel,successor_channel,examples,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta,K_root,K_total,search_cost,search_comparisons,token_span_operations,pareto
root_successor,hotpotqa,approx->exact_new_address,approx,exact_new_address,16,50.125,4.6875,4.0,0.375,0.08913690476190476,0.09375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,0.8994419642857143,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,approx->hybrid_state,approx,hybrid_state,16,50.125,4.6875,4.0,0.4375,0.10476190476190476,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.0127232142857143,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,approx->native_semantic,approx,native_semantic,16,50.125,4.6875,4.0,0.625,0.14494047619047618,0.15625,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.4704241071428572,2.0,4.0,150.375,150.375,32988.9375,1
root_successor,hotpotqa,bm25->bm25_state,bm25,bm25_state,16,50.125,4.6875,4.0,0.1875,0.04375,0.046875,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,0.77734375,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,bm25->exact_new_address,bm25,exact_new_address,16,50.125,4.6875,4.0,0.3125,0.071875,0.078125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.44140625,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,bm25->hybrid_state,bm25,hybrid_state,16,50.125,4.6875,4.0,0.3125,0.075,0.078125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.42578125,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,bm25->native_semantic,bm25,native_semantic,16,50.125,4.6875,4.0,0.3125,0.06830357142857144,0.078125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.0842633928571428,2.0,4.0,150.375,150.375,32988.9375,0
root_successor,hotpotqa,exact->bm25_state,exact,bm25_state,16,50.125,4.6875,4.0,0.375,0.090625,0.09375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.1953125,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,exact->exact_new_address,exact,exact_new_address,16,50.125,4.6875,4.0,0.4375,0.10788690476190477,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.7650669642857142,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,exact->hybrid_state,exact,hybrid_state,16,50.125,4.6875,4.0,0.5,0.12351190476190477,0.125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.8783482142857142,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,exact->native_semantic,exact,native_semantic,16,50.125,4.6875,4.0,0.5625,0.12931547619047618,0.140625,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.6696428571428572,2.0,4.0,150.375,150.375,32988.9375,0
root_successor,hotpotqa,gist->bm25_state,gist,bm25_state,16,50.125,4.6875,4.0,0.25,0.05267857142857143,0.0625,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,0.9213169642857143,2.0,4.0,150.375,150.375,101664.0,0
root_successor,hotpotqa,gist->exact_new_address,gist,exact_new_address,16,50.125,4.6875,4.0,0.375,0.08392857142857144,0.09375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.6010044642857144,2.0,4.0,150.375,150.375,101664.0,0
root_successor,hotpotqa,gist->hybrid_state,gist,hybrid_state,16,50.125,4.6875,4.0,0.375,0.08705357142857142,0.09375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.2494419642857142,2.0,4.0,150.375,150.375,101664.0,0
root_successor,hotpotqa,gist->native_semantic,gist,native_semantic,16,50.125,4.6875,4.0,0.4375,0.10119047619047619,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.4207589285714286,2.0,4.0,150.375,150.375,0.0,0
root_successor,hotpotqa,hybrid->bm25_state,hybrid,bm25_state,16,50.125,4.6875,4.0,0.3125,0.075,0.078125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.0390625,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,hybrid->exact_new_address,hybrid,exact_new_address,16,50.125,4.6875,4.0,0.4375,0.10788690476190477,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.7650669642857142,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,hybrid->hybrid_state,hybrid,hybrid_state,16,50.125,4.6875,4.0,0.5,0.12351190476190477,0.125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.8783482142857142,2.0,4.0,150.375,150.375,134401.0,0
root_successor,hotpotqa,hybrid->native_semantic,hybrid,native_semantic,16,50.125,4.6875,4.0,0.4375,0.10476190476190476,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.4017857142857144,2.0,4.0,150.375,150.375,32988.9375,0
root_successor,musique,approx->bm25_state,approx,bm25_state,18,81.61111111111111,15.0,4.0,0.7222222222222222,0.04716753154253154,0.18055555555555555,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,0.9326179029304029,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,approx->exact_new_address,approx,exact_new_address,18,81.61111111111111,15.0,4.0,0.8333333333333334,0.05124771062271062,0.20833333333333334,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.0200008903133901,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,approx->hybrid_state,approx,hybrid_state,18,81.61111111111111,15.0,4.0,0.7222222222222222,0.041723901098901096,0.18055555555555555,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,0.8459929538054538,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,approx->native_semantic,approx,native_semantic,18,81.61111111111111,15.0,4.0,0.7222222222222222,0.04635353072853073,0.18055555555555555,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,0.9186781389906389,2.0,4.0,244.83333333333334,244.83333333333334,68970.72222222222,0
root_successor,musique,bm25->bm25_state,bm25,bm25_state,18,81.61111111111111,15.0,4.0,1.0,0.07721803659303658,0.25,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.573070505883006,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,bm25->exact_new_address,bm25,exact_new_address,18,81.61111111111111,15.0,4.0,1.1111111111111112,0.08595201095201095,0.2777777777777778,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.7688968438968438,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,1
root_successor,musique,bm25->hybrid_state,bm25,hybrid_state,18,81.61111111111111,15.0,4.0,1.0555555555555556,0.07677542365042364,0.2638888888888889,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.5294375185000186,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,bm25->native_semantic,bm25,native_semantic,18,81.61111111111111,15.0,4.0,0.9444444444444444,0.06753651441151441,0.2361111111111111,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.3512781778406777,2.0,4.0,244.83333333333334,244.83333333333334,68970.72222222222,0
root_successor,musique,exact->bm25_state,exact,bm25_state,18,81.61111111111111,15.0,4.0,0.8333333333333334,0.0620980870980871,0.20833333333333334,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.1459859584859584,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,exact->exact_new_address,exact,exact_new_address,18,81.61111111111111,15.0,4.0,0.8888888888888888,0.06062271062271063,0.2222222222222222,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.1486467236467235,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,exact->hybrid_state,exact,hybrid_state,18,81.61111111111111,15.0,4.0,0.8888888888888888,0.05839056776556776,0.2222222222222222,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.1001596204721205,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,exact->native_semantic,exact,native_semantic,18,81.61111111111111,15.0,4.0,0.8333333333333334,0.06128408628408629,0.20833333333333334,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.1320461945461944,2.0,4.0,244.83333333333334,244.83333333333334,68970.72222222222,0
root_successor,musique,gist->bm25_state,gist,bm25_state,18,81.61111111111111,15.0,4.0,0.8333333333333334,0.06728456728456728,0.20833333333333334,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.2790343915343916,2.0,4.0,244.83333333333334,244.83333333333334,166410.66666666666,0
root_successor,musique,gist->exact_new_address,gist,exact_new_address,18,81.61111111111111,15.0,4.0,0.6111111111111112,0.04424834424834425,0.1527777777777778,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,0.8231634106634106,2.0,4.0,244.83333333333334,244.83333333333334,166410.66666666666,0
root_successor,musique,gist->hybrid_state,gist,hybrid_state,18,81.61111111111111,15.0,4.0,0.4444444444444444,0.03629148629148629,0.1111111111111111,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,0.6580026455026454,2.0,4.0,244.83333333333334,244.83333333333334,166410.66666666666,0
root_successor,musique,gist->native_semantic,gist,native_semantic,18,81.61111111111111,15.0,4.0,0.7222222222222222,0.06697931697931697,0.18055555555555555,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.2261243386243388,2.0,4.0,244.83333333333334,244.83333333333334,0.0,0
root_successor,musique,hybrid->bm25_state,hybrid,bm25_state,18,81.61111111111111,15.0,4.0,0.9444444444444444,0.06886446886446887,0.2361111111111111,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.3647181522181522,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,hybrid->exact_new_address,hybrid,exact_new_address,18,81.61111111111111,15.0,4.0,1.0555555555555556,0.07385022385022384,0.2638888888888889,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.457112332112332,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,hybrid->hybrid_state,hybrid,hybrid_state,18,81.61111111111111,15.0,4.0,0.8333333333333334,0.05283501221001222,0.20833333333333334,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.0487707315832315,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888,0
root_successor,musique,hybrid->native_semantic,hybrid,native_semantic,18,81.61111111111111,15.0,4.0,0.7777777777777778,0.05572853072853073,0.19444444444444445,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.1139906389906389,2.0,4.0,244.83333333333334,244.83333333333334,68970.72222222222,0
root_successor,qasper,approx->bm25_state,approx,bm25_state,16,142.625,11.0625,4.0,0.375,0.04904761904761905,0.09375,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.776376488095238,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,approx->exact_new_address,approx,exact_new_address,16,142.625,11.0625,4.0,0.5,0.06561126373626373,0.125,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,2.413487293956044,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,approx->hybrid_state,approx,hybrid_state,16,142.625,11.0625,4.0,0.3125,0.051041666666666666,0.078125,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.9497395833333333,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,approx->native_semantic,approx,native_semantic,16,142.625,11.0625,4.0,0.25,0.040625,0.0625,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.77265625,2.0,4.0,427.875,427.875,44630.75,0
root_successor,qasper,bm25->bm25_state,bm25,bm25_state,16,142.625,11.0625,4.0,0.3125,0.03382554945054945,0.078125,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.3469694368131868,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,bm25->exact_new_address,bm25,exact_new_address,16,142.625,11.0625,4.0,0.4375,0.03549221611721612,0.109375,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.4678027701465202,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,bm25->hybrid_state,bm25,hybrid_state,16,142.625,11.0625,4.0,0.4375,0.03549221611721612,0.109375,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.4678027701465202,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,bm25->native_semantic,bm25,native_semantic,16,142.625,11.0625,4.0,0.4375,0.055492216117216116,0.109375,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,2.32405277014652,2.0,4.0,427.875,427.875,44630.75,0
root_successor,qasper,exact->bm25_state,exact,bm25_state,16,142.625,11.0625,4.0,0.8125,0.10214285714285715,0.203125,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,4.121316964285715,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,exact->exact_new_address,exact,exact_new_address,16,142.625,11.0625,4.0,0.875,0.1209981684981685,0.21875,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,4.4761361034798535,2.0,4.0,427.875,427.875,336202.75,1
root_successor,qasper,exact->hybrid_state,exact,hybrid_state,16,142.625,11.0625,4.0,0.75,0.10726190476190475,0.1875,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,4.07280505952381,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,exact->native_semantic,exact,native_semantic,16,142.625,11.0625,4.0,0.6875,0.11163690476190476,0.171875,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,4.11655505952381,2.0,4.0,427.875,427.875,44630.75,0
root_successor,qasper,gist->bm25_state,gist,bm25_state,16,142.625,11.0625,4.0,0.1875,0.021145833333333332,0.046875,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,0.9608072916666667,2.0,4.0,427.875,427.875,291572.0,0
root_successor,qasper,gist->exact_new_address,gist,exact_new_address,16,142.625,11.0625,4.0,0.25,0.03364583333333333,0.0625,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.4639322916666666,2.0,4.0,427.875,427.875,291572.0,0
root_successor,qasper,gist->hybrid_state,gist,hybrid_state,16,142.625,11.0625,4.0,0.125,0.008645833333333333,0.03125,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,0.4295572916666667,2.0,4.0,427.875,427.875,291572.0,0
root_successor,qasper,gist->native_semantic,gist,native_semantic,16,142.625,11.0625,4.0,0.1875,0.009479166666666667,0.046875,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,0.48997395833333335,2.0,4.0,427.875,427.875,0.0,0
root_successor,qasper,hybrid->bm25_state,hybrid,bm25_state,16,142.625,11.0625,4.0,0.3125,0.044583333333333336,0.078125,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.6111979166666668,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,hybrid->exact_new_address,hybrid,exact_new_address,16,142.625,11.0625,4.0,0.625,0.09016483516483516,0.15625,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,2.944737293956044,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,hybrid->hybrid_state,hybrid,hybrid_state,16,142.625,11.0625,4.0,0.3125,0.05416666666666667,0.078125,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.7278645833333333,2.0,4.0,427.875,427.875,336202.75,0
root_successor,qasper,hybrid->native_semantic,hybrid,native_semantic,16,142.625,11.0625,4.0,0.25,0.046875,0.0625,0.0,0.032479887950834,1.0285164835164835,0.967520112049166,1.30078125,2.0,4.0,427.875,427.875,44630.75,0
